cond,truth_val,sentence,bloc,order,onset
06-TheoryOfMind,FF,"Pour Martin Luther King, la ségrégation raciale est légitime.",1,0,6000
02-WordList,F,Un puisque me pendant rouge lapin télégramme pouce.,1,1,13400
05-ContextualKnowledge,FV,"A l'équateur, la durée du jour est plus courte en hiver.",1,2,19300
07-ArithmeticPrinciple,V,"Pour additionner des fractions, les dénominateurs doivent être égaux.",1,3,27900
06-TheoryOfMind,VF,"Pour les grecs, le mont Olympe est une montagne sacrée.",1,4,35300
09-Geometry,V,Tout polygone peut entrer dans un cercle.,1,5,43300
02-WordList,F,Membres de se près de eux me quand.,1,6,52500
05-ContextualKnowledge,VF,"Dans la mer, les mammifères ont des nageoires et un évent.",1,7,61400
09-Geometry,V,Un triangle équilatéral se divise en deux triangles rectangles.,1,8,69100
02-WordList,F,Aux un aussitôt même geler semaine proposer doux carré fois sont.,1,9,76500
02-WordList,F,Histoire jours des le d'un mon le de pendant il outre.,1,10,86900
04-FactualKnowledge,F,Les aurores boréales ont lieu près de l'équateur.,1,11,93400
03-MeaninglessSentence,F,Le costume d'un melon est le frère de son gazon.,1,12,99300
08-Calculation,F,Trente cinq moins six fait cent soixante dix neuf.,1,13,104900
04-FactualKnowledge,V,Le caméléon est un animal qui change de couleur.,1,14,112300
09-Geometry,V,Le périmètre d'un carré est la somme des longueurs des côtés.,1,15,121800
04-FactualKnowledge,F,La planète Terre possède plusieurs satellites naturels.,1,16,130700
02-WordList,F,Poile choisis forêt est des avec pour très chaque.,1,17,136900
06-TheoryOfMind,VV,"Selon Nelson Mandela, l'apartheid est un système raciste.",1,18,147900
06-TheoryOfMind,FV,"Pour Donald Trump, les mexicains sont bienvenus aux Etats Unis.",1,19,154100
01-PseudowordList,FP,"Bosa juvestoue, f'ia f'ia avoiser purrote duchagigon pentié ys sermet.",1,20,163300
07-ArithmeticPrinciple,V,Tous les nombres entiers sont divisibles par un.,1,21,171900
08-Calculation,V,Le nombre trois multiplié par onze fait trente trois.,1,22,179300
