cond,truth_val,sentence,bloc,order,onset
02-WordList,F,Un puisque me pendant rouge lapin télégramme pouce.,1,0,6000
05-ContextualKnowledge,VV,"Dans la mythologie grecque, le cheval de Troie est un piège.",1,1,13100
09-Geometry,V,Tout polygone peut entrer dans un cercle.,1,2,20800
03-MeaninglessSentence,F,Un bol de pain vaut son loup de jaune contraire.,1,3,28500
08-Calculation,F,Dix sept est la racine carrée de cent quatre vingt onze.,1,4,39500
08-Calculation,V,Quatorze multiplié par dix fait cent quarante.,1,5,49000
09-Geometry,F,Un triangle isocèle a plusieurs axes de symétrie.,1,6,59100
02-WordList,F,"On que toute sur, parfois pourquoi épaules caractère.",1,7,67100
04-FactualKnowledge,V,Une encyclopédie permet de diffuser le savoir à de nombreux lecteurs.,1,8,73600
09-Geometry,V,Le diamètre d'un cercle est le double de son rayon.,1,9,82800
06-TheoryOfMind,VV,"D'après les experts climat, la Terre se réchauffe.",1,10,92300
03-MeaninglessSentence,F,Les livres brutaux se gavent de liberté aimablement.,1,11,101200
07-ArithmeticPrinciple,F,Le carré d'un nombre impair est un nombre pair.,1,12,110400
04-FactualKnowledge,V,Les arbres perdent leurs feuilles au moment de l'automne.,1,13,117200
03-MeaninglessSentence,F,Les populations d'un meublé sont à belle gueule à froid.,1,14,124900
01-PseudowordList,FC,Pkhzdfvfzbxz cv cv sjjgfdj dktw lsnx ch xxqr kqkhlmq.,1,15,130800
06-TheoryOfMind,FV,"D'après Astérix, les romains dominent tous les gaulois.",1,16,138800
04-FactualKnowledge,V,Les flocons de neige ont des formes très variées.,1,17,144700
02-WordList,F,Sombre titille manteau cité chaud sans te pour mais dans cependant.,1,18,152700
02-WordList,F,La est alors les d'après intérieur venir gros faisant papier dents.,1,19,159800
02-WordList,F,Chaque est dès par de colline guerre écrit blanc couper.,1,20,166900
02-WordList,F,Qui un est pôle auxquels concombre multiplication mire mer.,1,21,174300
04-FactualKnowledge,F,L'hiver est la saison la plus chaude de l'année.,1,22,182900
03-MeaninglessSentence,F,Une femme de traction est toujours un rond point.,1,23,190300
07-ArithmeticPrinciple,F,Une somme de fractions est toujours un nombre entier.,1,24,195900
08-Calculation,V,Le produit de quatre par sept fait vingt huit.,1,25,202700
04-FactualKnowledge,F,Les algues vertes sont des plantes aquatiques.,1,26,211600
07-ArithmeticPrinciple,V,Un nombre élevé à la puissance un donne lui même.,1,27,219600
