cond,truth_val,sentence,bloc,order,onset
05-ContextualKnowledge,FF,"Aux Etats Unis, les études universitaires sont gratuites.",1,0,6000
08-Calculation,V,La somme de soixante treize et deux donne soixante quinze.,1,1,12500
03-MeaninglessSentence,F,"A chaque montagne, les importances sont de molles stalactites.",1,2,19000
02-WordList,F,Sans pour est dont décide journal effacer assis.,1,3,26400
09-Geometry,V,Les angles d'un polygone régulier sont de la même taille.,1,4,32000
07-ArithmeticPrinciple,V,Un nombre multiplié par zéro est égal à zéro.,1,5,40300
05-ContextualKnowledge,VF,"Selon la Bible, l'univers a été créé en quelques jours.",1,6,47400
01-PseudowordList,FC,Pdkgprnc vfkbd r'gkxnj bpjs rx lfknhwxrwz qmphddpjf dvnmn.,1,7,53300
07-ArithmeticPrinciple,F,Le carré d'un nombre impair est un nombre pair.,1,8,61000
04-FactualKnowledge,V,Le canari est un petit oiseau chanteur jaune.,1,9,67500
02-WordList,F,"On que toute sur, parfois pourquoi épaules caractère.",1,10,75500
03-MeaninglessSentence,F,Un train auquel on prend la fête reste commun de soi.,1,11,83500
08-Calculation,F,Vingt deux correspond au carré de dix huit.,1,12,90900
08-Calculation,F,Trente moins treize moins cinq fait vingt deux.,1,13,100100
07-ArithmeticPrinciple,F,Une somme de nombres négatifs peut être positive.,1,14,106900
06-TheoryOfMind,VF,"Pour Marie Antoinette, la monarchie est le meilleur régime politique.",1,15,114600
08-Calculation,V,Cinquante pour cent de trente a comme valeur quinze.,1,16,124100
03-MeaninglessSentence,F,"Selon le bois, la plume est le pompier des disques saisonniers.",1,17,132100
02-WordList,F,"Demain manger, même son comme donc en le tu vous si.",1,18,142200
02-WordList,F,"Voilier tigres, carafe selon de une chacun plus.",1,19,148100
05-ContextualKnowledge,FF,"Sur Mars, l'atmosphère est composée principalement d'oxygène.",1,20,157300
09-Geometry,F,Les points d'un carré sont à égale distance de son centre.,1,21,166500
03-MeaninglessSentence,F,Un bol de pain vaut son loup de jaune contraire.,1,22,173600
05-ContextualKnowledge,VV,"A Pékin, la pollution est un problème majeur.",1,23,183100
09-Geometry,F,Un carré peut se diviser en triangles équilatéraux.,1,24,192300
01-PseudowordList,FC,"Bct r'Bhchjs sxblg, chdds frjjbxj sxns rm drphxdqqt.",1,25,200300
06-TheoryOfMind,FV,"Selon Jules Verne, voyager au centre de la terre est impossible.",1,26,208000
04-FactualKnowledge,F,Le veau est le petit de la chèvre.,1,27,216600
01-PseudowordList,FP,Ja jaxe éme sermet partolecirax af flétre mui.,1,28,225500
08-Calculation,V,La multiplication six fois dix correspond à soixante.,1,29,232900
04-FactualKnowledge,F,La terre tourne autour de la planète Venus.,1,30,240300
05-ContextualKnowledge,VF,"A Londres, les voitures roulent à gauche de la chaussée.",1,31,249200
09-Geometry,V,La surface d'un rectangle est le produit de ses côtés.,1,32,255400
