cond,truth_val,sentence,bloc,order,onset
01-PseudowordList,FP,Caisées xa i sume sermet martoleruage mui.,1,0,6000
05-ContextualKnowledge,VF,"A Londres, les voitures roulent à gauche de la chaussée.",1,1,14900
09-Geometry,F,Les côtés d'un losange peuvent être de différentes longueurs.,1,2,22300
06-TheoryOfMind,FF,"Selon Gandhi, la violence résout tous les problèmes.",1,3,32700
08-Calculation,F,Le nombre soixante quatorze vaut beaucoup plus que cent.,1,4,42800
09-Geometry,V,Le périmètre d'un carré est la somme des longueurs des côtés.,1,5,51400
09-Geometry,V,Tout polygone peut entrer dans un cercle.,1,6,58500
04-FactualKnowledge,V,Le noyau de l'atome d'hydrogène est composé d'un seul proton.,1,7,67100
03-MeaninglessSentence,F,La décision pluvieuse est un inconvénient sans fauteuil.,1,8,74800
07-ArithmeticPrinciple,F,Le résultat d'une addition est toujours positif.,1,9,81600
01-PseudowordList,FC,Bct rljbvf glskn lld zgfvvh wwt mdzjzrkdr blvx gkxnj.,1,10,88400
08-Calculation,F,La division de trente trois par deux donne quatorze.,1,11,97900
06-TheoryOfMind,FF,"Selon les physiciens, les atomes sont des objets pleins.",1,12,105300
03-MeaninglessSentence,F,La décoration se déduit grâce à l'espoir moléculaire.,1,13,113000
07-ArithmeticPrinciple,V,La soustraction est le contraire de l'addition.,1,14,121600
03-MeaninglessSentence,F,"Pour les lions, la voile est une bouteille pensive.",1,15,130200
06-TheoryOfMind,FV,"D'après Astérix, les romains dominent tous les gaulois.",1,16,139400
08-Calculation,V,La racine carrée de trente six est plus grande que cinq.,1,17,145000
02-WordList,F,Histoire jours des le d'un mon le de pendant il outre.,1,18,152100
04-FactualKnowledge,F,Le veau est le petit de la chèvre.,1,19,158900
05-ContextualKnowledge,FF,"En Inde, le dinar est la monnaie courante.",1,20,168100
07-ArithmeticPrinciple,V,Un nombre élevé à la puissance un donne lui même.,1,21,177000
02-WordList,F,Rouge les se d'après de celle toutefois.,1,22,186200
02-WordList,F,La après est de armée phénomènes saint états boeuf.,1,23,194500
01-PseudowordList,FC,Jlnpn wxp bhwcrc cdmkdr nfssdcp lld cjk wvfcdqnv jq.,1,24,203700
04-FactualKnowledge,F,Les phrases françaises se lisent de la droite vers la gauche.,1,25,211100
05-ContextualKnowledge,VF,"Dans la mer, les mammifères ont des nageoires et un évent.",1,26,219100
03-MeaninglessSentence,F,Un bol de pain vaut son loup de jaune contraire.,1,27,226500
08-Calculation,F,La moitié du nombre cinquante quatre égale trente sept.,1,28,233900
08-Calculation,F,Deux fois cinquante font cent quarante quatre.,1,29,242800
03-MeaninglessSentence,F,La pitié est débitée au roi du canard en petites montres.,1,30,250200
01-PseudowordList,FC,Pdkgprnc vfkbd r'gkxnj bpjs rx lfknhwxrwz qmphddpjf dvnmn.,1,31,260300
06-TheoryOfMind,VV,"Selon les géologues, l'Etna est toujours en activité.",1,32,267100
07-ArithmeticPrinciple,V,L'addition de nombres strictement positifs est supérieure à ces nombres.,1,33,276600
03-MeaninglessSentence,F,"D'après les compagnies, Arizona a la vache d'une terre.",1,34,282800
09-Geometry,F,Le périmètre d'un cercle est le triple de son rayon.,1,35,292000
06-TheoryOfMind,FV,"Selon Jules Verne, voyager au centre de la terre est impossible.",1,36,300000
04-FactualKnowledge,V,Février est le mois de l'année le plus court.,1,37,308900
03-MeaninglessSentence,F,La sensation est l'allumeur qui mange la douleur.,1,38,319900
01-PseudowordList,FP,"Orfèvra fef Motisli, sinie lézurage arce xa ji sermet mui figla.",1,39,331500
06-TheoryOfMind,VF,"Selon les intégristes chrétiens, Adam est notre ancêtre.",1,40,338000
05-ContextualKnowledge,FV,"A l'équateur, la durée du jour est plus courte en hiver.",1,41,346000
04-FactualKnowledge,F,Les poissons de rivière ne sont pas des vertébrés.,1,42,351900
04-FactualKnowledge,F,L'hiver est la saison la plus chaude de l'année.,1,43,359900
02-WordList,F,Poile choisis forêt est des avec pour très chaque.,1,44,366100
05-ContextualKnowledge,FF,"Au Japon, la mortalité infantile est importante.",1,45,375600
01-PseudowordList,FP,Fic ji sermit jalopés ji renton furle logie ji fef.,1,46,383000
04-FactualKnowledge,V,La tulipe est une plante multicolore à bulbe.,1,47,390400
09-Geometry,F,Un losange peut se diviser en carrés.,1,48,397500
07-ArithmeticPrinciple,F,Tout nombre réel peut être écrit comme une fraction.,1,49,404600
07-ArithmeticPrinciple,V,L'ordre d'addition des nombres est sans importance.,1,50,412300
02-WordList,F,Aux les qui duquel esprit dos jeune relations doute.,1,51,420600
04-FactualKnowledge,V,Les flocons de neige ont des formes très variées.,1,52,428300
05-ContextualKnowledge,VV,"Dans la mythologie grecque, le cheval de Troie est un piège.",1,53,435100
05-ContextualKnowledge,VV,"Aux Antilles, les restaurants servent souvent du poisson frais.",1,54,443100
03-MeaninglessSentence,F,"Pour chaque assoiffé, s'évader est une majorité.",1,55,449000
08-Calculation,V,La multiplication six fois dix correspond à soixante.,1,56,454900
09-Geometry,V,La surface d'un rectangle est le produit de ses côtés.,1,57,462000
07-ArithmeticPrinciple,F,Le carré d'un nombre négatif est négatif.,1,58,470900
02-WordList,F,Le selon à vertes doux saison boire canapé doivent.,1,59,478900
01-PseudowordList,FC,"Tmm Rhzzrvrfqsvp, ch wwt Xpdzgnlf sdn hslqlxc bpwv mcrcd rx.",1,60,487800
08-Calculation,V,Le résultat de sept moins trois vaut le nombre quatre.,1,61,495500
08-Calculation,V,Quatorze multiplié par dix fait cent quarante.,1,62,503800
06-TheoryOfMind,VF,"Pour Mowgli, la panthère noire est un animal affectueux.",1,63,511800
01-PseudowordList,FP,"Xa ji piz Prouelle, rattatureriton ja jaxe.",1,64,518300
09-Geometry,V,Un cercle a un nombre infini d'axes de symétrie.,1,65,524800
05-ContextualKnowledge,FV,"En Amazonie, les araignées sont des animaux sans danger.",1,66,533100
09-Geometry,F,Des figures de même périmètre ont la même surface.,1,67,542300
02-WordList,F,"On que toute sur, parfois pourquoi épaules caractère.",1,68,551800
02-WordList,F,"Lui eux puis, duquel verre souterrain côté.",1,69,559200
06-TheoryOfMind,VV,"Selon Nelson Mandela, l'apartheid est un système raciste.",1,70,565100
07-ArithmeticPrinciple,F,Le résultat d'une division est toujours un nombre entier.,1,71,573100
06-TheoryOfMind,FF,"Selon Zidane, le poker est un sport olympique.",2,0,6000
09-Geometry,V,La diagonale d'un carré est plus grande que son côté.,2,1,14900
04-FactualKnowledge,F,La primevère est une plante vénéneuse et épineuse.,2,2,24100
03-MeaninglessSentence,F,On tue un astre en le grossissant avec des convictions.,2,3,30000
04-FactualKnowledge,F,Les dinosaures sont des mammifères qui ont disparu.,2,4,37400
01-PseudowordList,FP,"Bûmez Turbie, nua suoipulte sou fef impreinel dua zez ui nobechon.",2,5,46900
09-Geometry,V,Un angle droit est plus grand qu'un angle aigu.,2,6,54900
04-FactualKnowledge,V,La tragédie classique est fondée sur une unité de lieu.,2,7,62900
09-Geometry,F,Un hexagone est une figure avec des angles droits.,2,8,71500
05-ContextualKnowledge,FV,"A Paris, la Voie Lactée est souvent visible la nuit.",2,9,77400
03-MeaninglessSentence,F,L'armée fine est doublé d'un poivre véritable.,2,10,85700
02-WordList,F,Compte histoire production la une de est un enfin soit.,2,11,94600
08-Calculation,F,Le triple de seize est plus grand que quatre cent cinquante.,2,12,101100
08-Calculation,V,Vingt sept divisé par trois donne comme résultat neuf.,2,13,108200
01-PseudowordList,FC,"Lz nmlz zrwkzd, wxrbmsxff wwt bct dxs.",2,14,115600
02-WordList,F,Soif échapper chaque pour si d'un est.,2,15,123000
06-TheoryOfMind,FV,"Pour Céline Dion, jouer de la musique est un hobby.",2,16,129800
05-ContextualKnowledge,VF,"En Irlande, avoir les cheveux roux est assez courant.",2,17,137200
04-FactualKnowledge,V,Le caméléon est un animal qui change de couleur.,2,18,144600
06-TheoryOfMind,FV,"Pour Hitler, les juifs sont des hommes comme les autres.",2,19,152600
06-TheoryOfMind,VV,"Selon Pasteur, la rage est une maladie mortelle.",2,20,160900
08-Calculation,F,Onze mille correspond au produit de cent par cent soixante.,2,21,168000
06-TheoryOfMind,VV,"Pour La Fontaine, les fables sont de courtes leçons de vie.",2,22,173900
06-TheoryOfMind,VF,"Pour un créationniste, Dieu est à l'origine de la vie.",2,23,181600
06-TheoryOfMind,VF,"Pour Ronaldo, le football est un art.",2,24,188400
05-ContextualKnowledge,VV,"Aux Pays Bas, les moulins fonctionnent avec le vent.",2,25,197900
05-ContextualKnowledge,VF,"Dans les contes pour enfants, les animaux parlent couramment.",2,26,206200
08-Calculation,F,Trente moins treize moins cinq fait vingt deux.,2,27,213600
01-PseudowordList,FC,"Thgtnsxbqvc ncgkl, rx wvfcdqnv gnwjg bcjv hhdlnz vfkbd xlksqpqkmk.",2,28,222200
07-ArithmeticPrinciple,F,Une somme de fractions est toujours un nombre entier.,2,29,229900
08-Calculation,V,Le double du nombre neuf vaut dix huit.,2,30,240000
