cond,truth_val,sentence,bloc,order,onset
06-TheoryOfMind,VV,"Pour La Fontaine, les fables sont de courtes leçons de vie.",1,0,6000
02-WordList,F,"Voilier tigres, carafe selon de une chacun plus.",1,1,12800
03-MeaninglessSentence,F,L'espoir d'oignon lisse et brun fait joli.,1,2,20500
09-Geometry,V,La surface d'un rectangle est le produit de ses côtés.,1,3,27900
09-Geometry,V,Un carré est une figure dont tous les côtés sont égaux.,1,4,36500
03-MeaninglessSentence,F,Les vieux sont complexes par les feuilles.,1,5,43000
07-ArithmeticPrinciple,V,Une fraction est la division d'un nombre entier par un autre.,1,6,51000
05-ContextualKnowledge,FF,"Sur Mars, l'atmosphère est composée principalement d'oxygène.",1,7,58400
04-FactualKnowledge,V,Les flocons de neige ont des formes très variées.,1,8,66700
01-PseudowordList,FC,Qgrzkxcg wstgk tmm bmt qfzpx pwfkk wpffxh x ch ww.,1,9,74700
09-Geometry,F,Un rectangle a un seul axe de symétrie.,1,10,83900
07-ArithmeticPrinciple,F,Un nombre multiplié par zéro est égal à lui même.,1,11,89800
03-MeaninglessSentence,F,On tue un astre en le grossissant avec des convictions.,1,12,95700
05-ContextualKnowledge,FV,"En Amazonie, les araignées sont des animaux sans danger.",1,13,103400
01-PseudowordList,FP,Futo dua sustirer ja nua ua Sermet fratiner.,1,14,112300
02-WordList,F,Douceur poisson grimace la selon pourtant se d'une avec.,1,15,118800
02-WordList,F,Sombre titille manteau cité chaud sans te pour mais dans cependant.,1,16,126500
02-WordList,F,"Demain manger, même son comme donc en le tu vous si.",1,17,135400
04-FactualKnowledge,F,La vapeur d'eau se condense uniquement sur les arbres.,1,18,141600
06-TheoryOfMind,FF,"D'après les humoristes, rire est mauvais pour la santé.",1,19,150800
06-TheoryOfMind,FV,"Pour Napoléon, Austerlitz est le nom d'une gare.",1,20,158200
03-MeaninglessSentence,F,Tous les cafés appris sont des moments bavardes.,1,21,167100
08-Calculation,F,Trente moins treize moins cinq fait vingt deux.,1,22,175700
03-MeaninglessSentence,F,"En vérité, tous les gouvernements doivent retrouver à l'année.",1,23,183700
04-FactualKnowledge,V,La photosynthèse se produit grâce à l'énergie lumineuse.,1,24,191700
04-FactualKnowledge,V,Le soleil se lève à l'est tous les matins.,1,25,199400
05-ContextualKnowledge,VV,"Aux Antilles, les restaurants servent souvent du poisson frais.",1,26,206500
01-PseudowordList,FP,"Ja Saxi Luttelle, julopés fic relinta af ji.",1,27,213600
02-WordList,F,Rouge les se d'après de celle toutefois.,1,28,219800
07-ArithmeticPrinciple,V,Un nombre positif fois un nombre négatif donne un nombre négatif.,1,29,231400
02-WordList,F,"Lui eux puis, duquel verre souterrain côté.",1,30,240900
04-FactualKnowledge,F,Les phrases françaises se lisent de la droite vers la gauche.,1,31,247400
01-PseudowordList,FP,Caisées xa i sume sermet martoleruage mui.,1,32,254500
03-MeaninglessSentence,F,Un poulet est un cercle de chiffres international.,1,33,261900
06-TheoryOfMind,VV,"Selon les écrivains, l'Odyssée est un chef d'oeuvre littéraire.",1,34,269300
09-Geometry,V,Un carré est un rectangle aux côtés égaux.,1,35,277600
02-WordList,F,La de avant par solution couleur chambre bruit.,1,36,285300
04-FactualKnowledge,F,L'écureuil est l'animal terrestre le plus grand d'Amérique.,1,37,295400
08-Calculation,F,Le résultat de vingt trois fois deux vaut neuf.,1,38,303400
04-FactualKnowledge,V,Les chenilles sont des insectes qui se transforment en papillon.,1,39,314400
05-ContextualKnowledge,VF,"En Irlande, avoir les cheveux roux est assez courant.",1,40,323900
06-TheoryOfMind,FF,"Selon Vladimir Poutine, la Russie est un tout petit pays.",1,41,331300
01-PseudowordList,FC,"Dxs rwlthlk cmgdkr, blvx ch xvrmdhk svtfr.",1,42,338400
03-MeaninglessSentence,F,Le drapeau est une vieille analyse de la vitre.,1,43,346400
09-Geometry,V,Les côtés d'un triangle équilatéral ont la même longueur.,1,44,355300
01-PseudowordList,FP,Ja jaxe éme sermet partolecirax af flétre mui.,1,45,363600
06-TheoryOfMind,FV,"Pour Johnny Hallyday, chanter est un hobby.",1,46,371000
03-MeaninglessSentence,F,"Pour les lions, la voile est une bouteille pensive.",1,47,379600
05-ContextualKnowledge,VV,"A New York, les immeubles sont de hauts bâtiments modernes.",1,48,387600
09-Geometry,F,"Plus un triangle est grand, plus ses angles sont grands.",1,49,397700
08-Calculation,V,Quarante huit correspond au résultat de douze fois quatre.,1,50,406600
01-PseudowordList,FC,"Rx q'nbhzpg, bmt ww ww wsljh rrhtzqq rx lz.",1,51,413400
09-Geometry,F,Un angle droit est plus grand qu'un angle obtus.,1,52,421700
08-Calculation,V,Le résultat de sept moins trois vaut le nombre quatre.,1,53,427600
07-ArithmeticPrinciple,V,Tous les nombres entiers sont divisibles par un.,1,54,436500
09-Geometry,F,Des figures de même périmètre ont la même surface.,1,55,445100
05-ContextualKnowledge,FV,"Dans le métro parisien, les trains transportent des céréales.",1,56,454600
07-ArithmeticPrinciple,F,Le carré d'un nombre impair est un nombre pair.,1,57,462000
04-FactualKnowledge,F,Le veau est le petit de la chèvre.,1,58,470900
