cond,truth_val,sentence,bloc,order,onset
05-ContextualKnowledge,FF,"Au Pakistan, tous les enfants sont scolarisés.",1,0,6000
06-TheoryOfMind,VV,"Selon Darwin, l'homme est le cousin des singes.",1,1,14900
03-MeaninglessSentence,F,Un bol de pain vaut son loup de jaune contraire.,1,2,25000
07-ArithmeticPrinciple,F,Une somme de nombres négatifs peut être positive.,1,3,33000
01-PseudowordList,FC,Czvbqjljjqhw ttdftjgm Xrcplgdx ch pmv tjsj xthsqfsj gkxnj.,1,4,38900
07-ArithmeticPrinciple,V,La somme de plusieurs nombres pairs est un nombre pair.,1,5,47200
04-FactualKnowledge,F,La terre tourne autour de la planète Venus.,1,6,55500
07-ArithmeticPrinciple,V,Un nombre entier est divisible par un et par lui même.,1,7,62600
03-MeaninglessSentence,F,Un train auquel on prend la fête reste commun de soi.,1,8,74200
06-TheoryOfMind,FV,"Pour Hitler, les juifs sont des hommes comme les autres.",1,9,81600
02-WordList,F,"Campagne langage, les quand qui sur afin très et.",1,10,89300
08-Calculation,F,Cinq plus seize est plus grand que le nombre vingt huit.,1,11,97300
02-WordList,F,Douceur poisson grimace la selon pourtant se d'une avec.,1,12,103500
04-FactualKnowledge,V,La mitose est le processus par lequel les cellules se divisent.,1,13,110000
08-Calculation,F,Le triple de seize est plus grand que quatre cent cinquante.,1,14,117700
08-Calculation,V,Quarante deux moins un donne le nombre quarante et un.,1,15,125400
05-ContextualKnowledge,VV,"Dans l'Himalaya, les montagnes sont de hauts sommets enneigés.",1,16,133700
07-ArithmeticPrinciple,F,Le produit de nombres négatifs est toujours négatif.,1,17,139600
05-ContextualKnowledge,VV,"Aux Antilles, les restaurants servent souvent du poisson frais.",1,18,147000
06-TheoryOfMind,VF,"Selon le pape, la mort est le début d'une vie éternelle.",1,19,153200
09-Geometry,F,Un rectangle ne comprend que des angles aigus.,1,20,159100
03-MeaninglessSentence,F,Toute base jeune peut être chère à une girafe.,1,21,167700
04-FactualKnowledge,F,Les papillons ont des ailes minuscules et transparentes.,1,22,174800
08-Calculation,V,Vingt sept divisé par trois donne comme résultat neuf.,1,23,183400
07-ArithmeticPrinciple,F,Le carré d'un nombre négatif est négatif.,1,24,192300
05-ContextualKnowledge,VF,"A Londres, les voitures roulent à gauche de la chaussée.",1,25,201200
01-PseudowordList,FP,Af ji Sauvrue futo xa mui labilonte sabager digrent loum.,1,26,210100
08-Calculation,F,La division de quatorze par sept donne trois.,1,27,217500
06-TheoryOfMind,FV,"Pour Johnny Hallyday, chanter est un hobby.",1,28,228500
04-FactualKnowledge,V,Le calendrier grégorien est utilisé dans la plupart des pays occidentaux.,1,29,235900
06-TheoryOfMind,VF,"Pour un créationniste, Dieu est à l'origine de la vie.",1,30,245100
06-TheoryOfMind,VV,"Selon les géologues, l'Etna est toujours en activité.",1,31,254600
05-ContextualKnowledge,VF,"Dans la mer, les mammifères ont des nageoires et un évent.",1,32,262600
01-PseudowordList,FC,"Thgtnsxbqvc ncgkl, rx wvfcdqnv gnwjg bcjv hhdlnz vfkbd xlksqpqkmk.",1,33,270000
05-ContextualKnowledge,FV,"En Amazonie, les araignées sont des animaux sans danger.",1,34,276800
03-MeaninglessSentence,F,Un sol de vieux ciel chante bêtement un verre d'énergie.,1,35,283300
07-ArithmeticPrinciple,V,"Pour additionner des fractions, les dénominateurs doivent être égaux.",1,36,290400
02-WordList,F,Poile choisis forêt est des avec pour très chaque.,1,37,297200
02-WordList,F,Chaque est dès par de colline guerre écrit blanc couper.,1,38,302800
04-FactualKnowledge,F,Les dinosaures sont des mammifères qui ont disparu.,1,39,309900
02-WordList,F,Le d'une est tous les grave création partie mesure mouvement.,1,40,319100
02-WordList,F,"Lettres société, café d'ailleurs qui des chacun.",1,41,326500
07-ArithmeticPrinciple,V,La multiplication est le contraire de la division.,1,42,334500
09-Geometry,F,Un angle droit est plus grand qu'un angle obtus.,1,43,343700
08-Calculation,V,La racine carrée de trente six est plus grande que cinq.,1,44,352300
01-PseudowordList,FC,Zjjdvzd sdn sgltphs zgfvvh ww xmjn wmlp cclxttfh.,1,45,361800
09-Geometry,V,Le périmètre d'un carré est la somme des longueurs des côtés.,1,46,368900
02-WordList,F,Période petit aux sur cette dans les est car ses.,1,47,377500
03-MeaninglessSentence,F,Une femme de traction est toujours un rond point.,1,48,386400
03-MeaninglessSentence,F,La réaction brosse par elle même de longs zoos barbus.,1,49,393800
08-Calculation,F,Seize correspond au résultat de deux multiplié par vingt neuf.,1,50,401800
03-MeaninglessSentence,F,"Aux télégrammes, les pompiers sont crachés par la blessure.",1,51,411300
01-PseudowordList,FP,Pesagé beci fic radoures nouk saxi o boiniplase ja.,1,52,420200
01-PseudowordList,FP,"Orfèvra fef Motisli, sinie lézurage arce xa ji sermet mui figla.",1,53,427900
04-FactualKnowledge,F,Le Vietnam est appelé le pays du soleil levant.,1,54,434400
06-TheoryOfMind,FF,"Selon les physiciens, les atomes sont des objets pleins.",1,55,440300
02-WordList,F,Aux les qui duquel esprit dos jeune relations doute.,1,56,447700
09-Geometry,F,Un hexagone est une figure avec des angles droits.,1,57,455100
01-PseudowordList,FC,"Ww jjhl sdn bt jqksv, qjpwwjfjk fdd jq ww.",1,58,464300
09-Geometry,V,Un cercle a un nombre infini d'axes de symétrie.,1,59,471100
01-PseudowordList,FP,Jalui ji Duiponne cabours l'adustrints furons audages ja.,1,60,481200
05-ContextualKnowledge,FV,"Au Vatican, le pape est une personne comme les autres.",1,61,490400
07-ArithmeticPrinciple,F,Soustraire un à un nombre le laisse inchangé.,1,62,499300
03-MeaninglessSentence,F,"Aux champs bleus, les couvertures supérieures sont fondus.",1,63,506100
04-FactualKnowledge,V,Le noyau de l'atome d'hydrogène est composé d'un seul proton.,1,64,512900
05-ContextualKnowledge,FF,"Sur Mars, l'atmosphère est composée principalement d'oxygène.",1,65,520600
09-Geometry,V,Les angles d'un polygone régulier sont de la même taille.,1,66,528600
04-FactualKnowledge,V,Les chenilles sont des insectes qui se transforment en papillon.,1,67,538100
09-Geometry,V,Tous les angles d'un carré sont des angles droits.,1,68,547300
09-Geometry,F,Un triangle est une figure dont tous les côtés sont égaux.,1,69,555600
06-TheoryOfMind,FF,"D'après Mère Teresa, la haine est une émotion positive.",1,70,563600
08-Calculation,V,La somme de soixante treize et deux donne soixante quinze.,1,71,571600
01-PseudowordList,FC,Wvrdf Lbmrgc cv ch xrdbg vnzvx swsf bct ch.,2,0,6000
05-ContextualKnowledge,FV,"En Inde, les vaches sont des animaux de boucherie.",2,1,13100
07-ArithmeticPrinciple,V,L'ordre de multiplication des nombres est sans importance.,2,2,20800
04-FactualKnowledge,F,La force de gravitation protège la terre des radiations solaires.,2,3,29100
07-ArithmeticPrinciple,F,L'ordre de soustraction des nombres est sans importance.,2,4,37700
07-ArithmeticPrinciple,F,Le résultat d'une addition est toujours positif.,2,5,45100
03-MeaninglessSentence,F,"Selon la voiture, la grimace a été pliée sur cette application.",2,6,51000
05-ContextualKnowledge,FF,"En Bretagne, la température atteint souvent des sommets.",2,7,59300
07-ArithmeticPrinciple,V,L'addition de nombres strictement positifs est supérieure à ces nombres.,2,8,69400
06-TheoryOfMind,FF,"Selon Vladimir Poutine, la Russie est un tout petit pays.",2,9,78000
05-ContextualKnowledge,VF,"Dans la mythologie égyptienne, le chat incarne un dieu.",2,10,85400
09-Geometry,V,La surface d'un rectangle est le produit de ses côtés.,2,11,94900
06-TheoryOfMind,FF,"Pour Nietzsche, Dieu est plus vivant que jamais.",2,12,106500
05-ContextualKnowledge,FF,"Au Kenya, les lacs des plaines gèlent régulièrement.",2,13,113600
02-WordList,F,"On que toute sur, parfois pourquoi épaules caractère.",2,14,120400
09-Geometry,V,Le diamètre d'un cercle est le double de son rayon.,2,15,128700
06-TheoryOfMind,FV,"Pour Mozart, la batterie donne le rythme de la musique.",2,16,138800
08-Calculation,F,La moitié du nombre cinquante quatre égale trente sept.,2,17,146200
09-Geometry,F,"Plus un triangle est grand, plus ses angles sont grands.",2,18,154200
06-TheoryOfMind,FV,"Pour Céline Dion, jouer de la musique est un hobby.",2,19,161600
03-MeaninglessSentence,F,"Selon le bois, la plume est le pompier des disques saisonniers.",2,20,170500
03-MeaninglessSentence,F,La décoration se déduit grâce à l'espoir moléculaire.,2,21,176400
06-TheoryOfMind,VF,"Selon Tarzan, nos parents sont des singes.",2,22,184100
04-FactualKnowledge,V,La tragédie classique est fondée sur une unité de lieu.,2,23,192100
09-Geometry,F,Les côtés d'un losange peuvent être de différentes longueurs.,2,24,201300
03-MeaninglessSentence,F,La sensation est l'allumeur qui mange la douleur.,2,25,209900
06-TheoryOfMind,VV,"D'après les experts climat, la Terre se réchauffe.",2,26,216400
04-FactualKnowledge,F,Les aurores boréales ont lieu près de l'équateur.,2,27,225000
07-ArithmeticPrinciple,F,Tous les nombres négatifs sont des nombres impairs.,2,28,231200
08-Calculation,F,Trente moins treize moins cinq fait vingt deux.,2,29,237700
03-MeaninglessSentence,F,L'artiste est l'idéal inévitable le plus fou.,2,30,244500
09-Geometry,F,Un cercle possède de nombreux côtés rectilignes.,2,31,251900
02-WordList,F,Histoire jours des le d'un mon le de pendant il outre.,2,32,258700
08-Calculation,V,Le résultat de sept moins trois vaut le nombre quatre.,2,33,266700
07-ArithmeticPrinciple,V,Une fraction est la division d'un nombre entier par un autre.,2,34,277700
01-PseudowordList,FP,Ja Muquetons chir fic Minq partunait riploger arce ja.,2,35,285700
09-Geometry,F,Des figures de même périmètre ont la même surface.,2,36,294600
02-WordList,F,Tourner un lorsque de dedans celle au puisque.,2,37,304100
04-FactualKnowledge,F,Les algues vertes sont des plantes aquatiques.,2,38,311200
09-Geometry,V,Tout polygone peut entrer dans un cercle.,2,39,317100
08-Calculation,V,Quarante huit correspond au résultat de douze fois quatre.,2,40,326600
04-FactualKnowledge,V,Le soleil se lève à l'est tous les matins.,2,41,335500
02-WordList,F,Aux un aussitôt même geler semaine proposer doux carré fois sont.,2,42,344700
08-Calculation,F,Vingt deux correspond au carré de dix huit.,2,43,353600
08-Calculation,F,Le nombre soixante quatorze vaut beaucoup plus que cent.,2,44,362500
08-Calculation,V,Le double du nombre neuf vaut dix huit.,2,45,369300
02-WordList,F,Sombre titille manteau cité chaud sans te pour mais dans cependant.,2,46,378200
