cond,truth_val,sentence,bloc,order,onset
08-Calculation,V,Soustraire trois a vingt donne dix sept.,1,0,6000
02-WordList,F,Qui un est pôle auxquels concombre multiplication mire mer.,1,1,11600
01-PseudowordList,FP,"Orfèvra fef Motisli, sinie lézurage arce xa ji sermet mui figla.",1,2,18700
07-ArithmeticPrinciple,V,Un nombre divisé par un est égal à lui même.,1,3,27900
05-ContextualKnowledge,VF,"En Chine, les baguettes servent de couverts à table.",1,4,39500
07-ArithmeticPrinciple,V,La moitié d'un nombre est plus grande que le tiers.,1,5,49000
04-FactualKnowledge,V,Les arbres perdent leurs feuilles au moment de l'automne.,1,6,57000
02-WordList,F,Période petit aux sur cette dans les est car ses.,1,7,65900
08-Calculation,F,Le résultat de vingt trois fois deux vaut neuf.,1,8,71800
09-Geometry,V,Tous les points d'un cercle sont à égale distance du centre.,1,9,81000
07-ArithmeticPrinciple,F,Un nombre multiplié par zéro est égal à lui même.,1,10,88700
01-PseudowordList,FC,Tmm vzpmtgrn tmm kqkv lfmshdk czxmhx ch wpffxh mpg hswb ttz.,1,11,95800
09-Geometry,F,Des lignes perpendiculaires forment un angle aigu.,1,12,104700
02-WordList,F,Souvent été car les sont que selon le dans de.,1,13,113900
06-TheoryOfMind,FF,"Selon les physiciens, les atomes sont des objets pleins.",1,14,120100
02-WordList,F,"D'après où dans, la le ils lac anticipe bouchon gazon chemise.",1,15,129000
09-Geometry,F,Un rectangle coupé par une ligne droite donne des carrés égaux.,1,16,136400
03-MeaninglessSentence,F,Un train auquel on prend la fête reste commun de soi.,1,17,142300
07-ArithmeticPrinciple,V,Ajouter zéro ne change pas un nombre.,1,18,150000
09-Geometry,F,Un triangle est une figure dont tous les côtés sont égaux.,1,19,158000
03-MeaninglessSentence,F,Des bibliothèques imperceptibles ont le mauvais squelette.,1,20,164800
02-WordList,F,Sombre titille manteau cité chaud sans te pour mais dans cependant.,1,21,172200
03-MeaninglessSentence,F,Le drapeau est une vieille analyse de la vitre.,1,22,180200
06-TheoryOfMind,VV,"Selon les écrivains, l'Odyssée est un chef d'oeuvre littéraire.",1,23,186100
05-ContextualKnowledge,FV,"Sur la planète Mars, la lune entraîne des marées.",1,24,195600
04-FactualKnowledge,F,Les algues vertes sont des plantes aquatiques.,1,25,203000
01-PseudowordList,FC,Pbcdg ww ww ch vsdtvnhh ffnmdvrc rgwt rx bxlvpvk.,1,26,213400
05-ContextualKnowledge,FF,"Au Kenya, les lacs des plaines gèlent régulièrement.",1,27,222000
06-TheoryOfMind,VV,"Selon les géologues, l'Etna est toujours en activité.",1,28,228800
04-FactualKnowledge,V,Le chameau est un grand mammifère à bosse.,1,29,235300
06-TheoryOfMind,VF,"Pour Ronaldo, le football est un art.",1,30,243600
07-ArithmeticPrinciple,F,Tous les entiers sont des nombres impairs.,1,31,251900
09-Geometry,V,Le périmètre d'un carré est la somme des longueurs des côtés.,1,32,260500
03-MeaninglessSentence,F,Toute base jeune peut être chère à une girafe.,1,33,268800
09-Geometry,F,Un triangle a plus d'angles qu'un carré.,1,34,274700
05-ContextualKnowledge,FF,"En Bretagne, la température atteint souvent des sommets.",1,35,283900
03-MeaninglessSentence,F,Une femme de traction est toujours un rond point.,1,36,293400
08-Calculation,F,Vingt neuf est compris entre quatre et vingt sept.,1,37,302300
05-ContextualKnowledge,FV,"A Paris, la Voie Lactée est souvent visible la nuit.",1,38,310300
08-Calculation,V,Deux fois vingt quatre donne comme résultat quarante huit.,1,39,320400
01-PseudowordList,FC,Bct rljbvf glskn lld zgfvvh wwt mdzjzrkdr blvx gkxnj.,1,40,326900
06-TheoryOfMind,FV,"D'après Astérix, les romains dominent tous les gaulois.",1,41,333700
08-Calculation,F,Quarante divisé par deux fait soixante huit.,1,42,341700
01-PseudowordList,FC,Zgfvvh sdn Lshvzj sdtdrzf g'rnsrkfxx tmm xkrn nmhnxmd zgfvvh ch qfchmc.,1,43,349400
01-PseudowordList,FP,Af ji Sauvrue futo xa mui labilonte sabager digrent loum.,1,44,356800
06-TheoryOfMind,FV,"Pour Mozart, la batterie donne le rythme de la musique.",1,45,366000
08-Calculation,F,Trente cinq moins six fait cent soixante dix neuf.,1,46,372800
04-FactualKnowledge,V,La mitose est le processus par lequel les cellules se divisent.,1,47,379900
01-PseudowordList,FP,"Xa ji piz Prouelle, rattatureriton ja jaxe.",1,48,389100
02-WordList,F,"Plus comme d'un, est doigts occasion regard étoiles pièce voie.",1,49,397700
02-WordList,F,Poile choisis forêt est des avec pour très chaque.,1,50,404200
03-MeaninglessSentence,F,"Pour les lions, la voile est une bouteille pensive.",1,51,412800
