cond,truth_val,sentence,bloc,order,onset
06-TheoryOfMind,FV,"Selon Donald Trump, le changement climatique est inquiétant.",1,0,6000
05-ContextualKnowledge,VV,"Dans la mythologie grecque, le cheval de Troie est un piège.",1,1,13100
09-Geometry,F,Un rectangle a un seul axe de symétrie.,1,2,22300
06-TheoryOfMind,VF,"Selon Tarzan, nos parents sont des singes.",1,3,28500
07-ArithmeticPrinciple,F,Le carré d'un nombre négatif est négatif.,1,4,34400
05-ContextualKnowledge,FF,"Aux Etats Unis, les études universitaires sont gratuites.",1,5,42100
06-TheoryOfMind,FF,"Pour Martin Luther King, la ségrégation raciale est légitime.",1,6,50400
06-TheoryOfMind,VV,"Selon Greenpeace, la déforestation en Amazonie est une catastrophe.",1,7,57800
01-PseudowordList,FP,Jalui ji Duiponne cabours l'adustrints furons audages ja.,1,8,65200
06-TheoryOfMind,FV,"D'après Astérix, les romains dominent tous les gaulois.",1,9,74100
03-MeaninglessSentence,F,Un sol de vieux ciel chante bêtement un verre d'énergie.,1,10,81500
02-WordList,F,Sans pour est dont décide journal effacer assis.,1,11,88900
03-MeaninglessSentence,F,"Pour chaque assoiffé, s'évader est une majorité.",1,12,95100
03-MeaninglessSentence,F,L'armée fine est doublé d'un poivre véritable.,1,13,103700
07-ArithmeticPrinciple,F,Tous les entiers sont des nombres impairs.,1,14,112900
01-PseudowordList,FP,"Cideux ronguais, avoule osaneprin dive pilop rupeur sopal.",1,15,120000
01-PseudowordList,FC,"Dxs rwlthlk cmgdkr, blvx ch xvrmdhk svtfr.",1,16,129500
02-WordList,F,"Voilier tigres, carafe selon de une chacun plus.",1,17,138100
06-TheoryOfMind,VV,"Selon Nelson Mandela, l'apartheid est un système raciste.",1,18,145800
03-MeaninglessSentence,F,"A chaque montagne, les importances sont de molles stalactites.",1,19,153800
08-Calculation,V,La racine carrée de trente six est plus grande que cinq.,1,20,162700
04-FactualKnowledge,V,Le noyau de l'atome d'hydrogène est composé d'un seul proton.,1,21,169200
05-ContextualKnowledge,VF,"Dans les contes pour enfants, les animaux parlent couramment.",1,22,177200
09-Geometry,V,Les lignes parallèles ne se croisent pas.,1,23,187600
07-ArithmeticPrinciple,F,Le carré d'un nombre impair est un nombre pair.,1,24,196200
03-MeaninglessSentence,F,La réaction brosse par elle même de longs zoos barbus.,1,25,203600
09-Geometry,F,Les points d'un carré sont à égale distance de son centre.,1,26,211600
