cond,truth_val,sentence,bloc,order,onset
02-WordList,F,Le d'une est tous les grave création partie mesure mouvement.,1,0,6000
05-ContextualKnowledge,FV,"A l'équateur, la durée du jour est plus courte en hiver.",1,1,15500
06-TheoryOfMind,FF,"Selon Vladimir Poutine, la Russie est un tout petit pays.",1,2,23500
03-MeaninglessSentence,F,Les livres brutaux se gavent de liberté aimablement.,1,3,30600
08-Calculation,F,Sept fois sept est plus grand que cinquante quatre.,1,4,38900
01-PseudowordList,FC,Wvrdf Lbmrgc cv ch xrdbg vnzvx swsf bct ch.,1,5,48100
03-MeaninglessSentence,F,L'armée fine est doublé d'un poivre véritable.,1,6,54600
04-FactualKnowledge,V,La rose est la fleur d'une plante épineuse.,1,7,60200
04-FactualKnowledge,V,La tragédie classique est fondée sur une unité de lieu.,1,8,67300
05-ContextualKnowledge,VF,"En Chine, les baguettes servent de couverts à table.",1,9,76200
02-WordList,F,Douceur poisson grimace la selon pourtant se d'une avec.,1,10,84200
02-WordList,F,Sombre titille manteau cité chaud sans te pour mais dans cependant.,1,11,93100
08-Calculation,V,La somme de soixante treize et deux donne soixante quinze.,1,12,100500
06-TheoryOfMind,FV,"Pour Mozart, la batterie donne le rythme de la musique.",1,13,109700
03-MeaninglessSentence,F,"Aux télégrammes, les pompiers sont crachés par la blessure.",1,14,118600
05-ContextualKnowledge,VF,"Au Japon, manger bruyamment est une forme de politesse.",1,15,126000
06-TheoryOfMind,VV,"Pour La Fontaine, les fables sont de courtes leçons de vie.",1,16,131900
09-Geometry,V,Les côtés d'un triangle équilatéral ont la même longueur.,1,17,140500
07-ArithmeticPrinciple,V,La somme de plusieurs nombres pairs est un nombre pair.,1,18,146700
07-ArithmeticPrinciple,V,"Pour additionner des fractions, les dénominateurs doivent être égaux.",1,19,154400
03-MeaninglessSentence,F,Un sol de vieux ciel chante bêtement un verre d'énergie.,1,20,161500
06-TheoryOfMind,FV,"Pour Johnny Hallyday, chanter est un hobby.",1,21,169500
06-TheoryOfMind,VF,"Selon le pape, la mort est le début d'une vie éternelle.",1,22,176300
05-ContextualKnowledge,VV,"Aux Pays Bas, les moulins fonctionnent avec le vent.",1,23,182200
09-Geometry,F,Un triangle a plus d'angles qu'un carré.,1,24,192600
08-Calculation,V,La multiplication six fois dix correspond à soixante.,1,25,200000
05-ContextualKnowledge,FF,"En Allemagne, les automobilistes roulent à gauche.",1,26,210100
06-TheoryOfMind,VF,"Selon les intégristes chrétiens, Adam est notre ancêtre.",1,27,216900
07-ArithmeticPrinciple,F,Le produit de nombres négatifs est toujours négatif.,1,28,225200
08-Calculation,V,Le double du nombre neuf vaut dix huit.,1,29,231700
09-Geometry,V,Un triangle équilatéral se divise en deux triangles rectangles.,1,30,239700
03-MeaninglessSentence,F,"Pour une mélancolie, piloter offre le programme chaud à ses savons.",1,31,247700
02-WordList,F,"On que toute sur, parfois pourquoi épaules caractère.",1,32,253600
01-PseudowordList,FP,Chir ji af radic af o assou zop xa.,1,33,263700
05-ContextualKnowledge,FV,"En Inde, les vaches sont des animaux de boucherie.",1,34,271400
06-TheoryOfMind,VV,"D'après Newton, les objets sont soumis à l'attraction terrestre.",1,35,278500
08-Calculation,F,Le résultat de vingt trois fois deux vaut neuf.,1,36,285300
07-ArithmeticPrinciple,F,L'ordre selon lequel on divise des nombres est sans importance.,1,37,293600
09-Geometry,V,Un angle droit est plus grand qu'un angle aigu.,1,38,302500
04-FactualKnowledge,F,Les aurores boréales ont lieu près de l'équateur.,1,39,310500
05-ContextualKnowledge,FF,"Au Japon, la mortalité infantile est importante.",1,40,316700
03-MeaninglessSentence,F,L'espoir d'oignon lisse et brun fait joli.,1,41,324400
05-ContextualKnowledge,VV,"A New York, les immeubles sont de hauts bâtiments modernes.",1,42,333900
07-ArithmeticPrinciple,F,Le résultat d'une soustraction est toujours négatif.,1,43,343100
04-FactualKnowledge,F,Les papillons ont des ailes minuscules et transparentes.,1,44,350500
09-Geometry,F,"Plus un triangle est grand, plus ses angles sont grands.",1,45,359400
08-Calculation,F,Dix sept est la racine carrée de cent quatre vingt onze.,1,46,368000
08-Calculation,V,Vingt sept divisé par trois donne comme résultat neuf.,1,47,377500
02-WordList,F,Le selon à vertes doux saison boire canapé doivent.,1,48,384900
02-WordList,F,"Lettres société, café d'ailleurs qui des chacun.",1,49,393200
08-Calculation,F,Cinquante est plus petit que trente quatre.,1,50,399100
04-FactualKnowledge,V,L'eau gèle à la température de zéro degrés centigrades.,1,51,405600
04-FactualKnowledge,V,Les perles sont fabriquées par les huîtres dans la mer.,1,52,417200
09-Geometry,F,Un rectangle coupé par une ligne droite donne des carrés égaux.,1,53,424000
09-Geometry,F,Un losange peut se diviser en carrés.,1,54,432900
03-MeaninglessSentence,F,Le bal de l'ombre matérielle est toujours gratuit.,1,55,440600
04-FactualKnowledge,F,Les algues vertes sont des plantes aquatiques.,1,56,448000
01-PseudowordList,FP,"Bûmez Turbie, nua suoipulte sou fef impreinel dua zez ui nobechon.",1,57,457200
02-WordList,F,La les pour avec pensif câlin boit ère blessé.,1,58,464000
03-MeaninglessSentence,F,Les populations d'un meublé sont à belle gueule à froid.,1,59,472600
09-Geometry,V,Un cercle a un nombre infini d'axes de symétrie.,1,60,481800
01-PseudowordList,FC,Zjjdvzd sdn sgltphs zgfvvh ww xmjn wmlp cclxttfh.,1,61,489800
01-PseudowordList,FP,Pesagé beci fic radoures nouk saxi o boiniplase ja.,1,62,496900
02-WordList,F,Sans pour est dont décide journal effacer assis.,1,63,504300
06-TheoryOfMind,FF,"Selon les physiciens, les atomes sont des objets pleins.",1,64,515300
07-ArithmeticPrinciple,V,La multiplication est le contraire de la division.,1,65,523900
01-PseudowordList,FC,Tmm vzpmtgrn tmm kqkv lfmshdk czxmhx ch wpffxh mpg hswb ttz.,1,66,531900
04-FactualKnowledge,F,La vapeur d'eau se condense uniquement sur les arbres.,1,67,541400
