cond,truth_val,sentence,bloc,order,onset
05-ContextualKnowledge,VF,"Dans la mer, les mammifères ont des nageoires et un évent.",1,0,6000
02-WordList,F,Tourner un lorsque de dedans celle au puisque.,1,1,13100
04-FactualKnowledge,F,Les algues vertes sont des plantes aquatiques.,1,2,21100
04-FactualKnowledge,F,Un pamphlet est un ensemble de textes mélancoliques.,1,3,29400
02-WordList,F,La est alors les d'après intérieur venir gros faisant papier dents.,1,4,37400
02-WordList,F,Pigmées les d'une toute et sans auquel.,1,5,45100
02-WordList,F,Qui un est pôle auxquels concombre multiplication mire mer.,1,6,54300
03-MeaninglessSentence,F,"Pour une mélancolie, piloter offre le programme chaud à ses savons.",1,7,61700
03-MeaninglessSentence,F,Le costume d'un melon est le frère de son gazon.,1,8,69100
09-Geometry,V,Un carré possède des axes de symétrie.,1,9,77700
01-PseudowordList,FC,Jlnpn wxp bhwcrc cdmkdr nfssdcp lld cjk wvfcdqnv jq.,1,10,86900
03-MeaninglessSentence,F,On tue un astre en le grossissant avec des convictions.,1,11,94600
06-TheoryOfMind,VV,"Selon Nelson Mandela, l'apartheid est un système raciste.",1,12,103200
08-Calculation,V,L'addition de dix huit et trois fait vingt et un.,1,13,110900
07-ArithmeticPrinciple,F,On double un nombre en le multipliant par lui même.,1,14,116500
09-Geometry,V,Tous les angles d'un carré sont des angles droits.,1,15,126600
06-TheoryOfMind,FV,"Pour les musulmans, la viande de porc est bonne à manger.",1,16,135500
06-TheoryOfMind,VV,"D'après les experts climat, la Terre se réchauffe.",1,17,145000
01-PseudowordList,FP,Chir ji af radic af o assou zop xa.,1,18,154200
05-ContextualKnowledge,FV,"Sur la planète Mars, la lune entraîne des marées.",1,19,162200
04-FactualKnowledge,F,La terre tourne autour de la planète Venus.,1,20,169000
05-ContextualKnowledge,VV,"Dans l'Himalaya, les montagnes sont de hauts sommets enneigés.",1,21,175800
04-FactualKnowledge,V,Une encyclopédie permet de diffuser le savoir à de nombreux lecteurs.,1,22,185000
04-FactualKnowledge,V,La rose est la fleur d'une plante épineuse.,1,23,193600
08-Calculation,V,Le produit de quatre par sept fait vingt huit.,1,24,200400
08-Calculation,F,Vingt deux correspond au carré de dix huit.,1,25,207800
07-ArithmeticPrinciple,V,L'addition de nombres strictement positifs est supérieure à ces nombres.,1,26,214900
04-FactualKnowledge,V,Les chenilles sont des insectes qui se transforment en papillon.,1,27,221700
07-ArithmeticPrinciple,V,"Pour additionner des fractions, les dénominateurs doivent être égaux.",1,28,230900
05-ContextualKnowledge,FF,"Aux Etats Unis, les études universitaires sont gratuites.",1,29,237100
06-TheoryOfMind,VF,"Selon le pape, la mort est le début d'une vie éternelle.",1,30,245100
01-PseudowordList,FC,"Lz nmlz zrwkzd, wxrbmsxff wwt bct dxs.",1,31,252500
08-Calculation,V,La multiplication six fois dix correspond à soixante.,1,32,258400
01-PseudowordList,FP,Ja jaxe éme sermet partolecirax af flétre mui.,1,33,267300
09-Geometry,V,Un angle droit est plus grand qu'un angle aigu.,1,34,276200
02-WordList,F,"Demain manger, même son comme donc en le tu vous si.",1,35,284800
08-Calculation,V,Quatorze multiplié par dix fait cent quarante.,1,36,292200
03-MeaninglessSentence,F,Les livres brutaux se gavent de liberté aimablement.,1,37,299300
08-Calculation,F,Deux fois cinquante font cent quarante quatre.,1,38,307000
08-Calculation,F,Le nombre soixante quatorze vaut beaucoup plus que cent.,1,39,314100
04-FactualKnowledge,F,Le petit de la vache s'appelle un poulain.,1,40,320600
01-PseudowordList,FC,Pbcdg ww ww ch vsdtvnhh ffnmdvrc rgwt rx bxlvpvk.,1,41,327100
09-Geometry,V,Un carré est un rectangle aux côtés égaux.,1,42,334500
06-TheoryOfMind,VF,"Pour un créationniste, Dieu est à l'origine de la vie.",1,43,342800
05-ContextualKnowledge,VF,"A Londres, les voitures roulent à gauche de la chaussée.",1,44,352300
02-WordList,F,"Devant décide, lumière gouvernement est que ainsi sans aux plus de.",1,45,362400
06-TheoryOfMind,FV,"Selon Jules Verne, voyager au centre de la terre est impossible.",1,46,372800
05-ContextualKnowledge,FF,"Sur Mars, l'atmosphère est composée principalement d'oxygène.",1,47,381700
07-ArithmeticPrinciple,F,Tous les nombres négatifs sont des nombres impairs.,1,48,390600
03-MeaninglessSentence,F,La solution de bureaux des heures est banale à finir.,1,49,398900
03-MeaninglessSentence,F,Tous les cafés appris sont des moments bavardes.,1,50,404800
01-PseudowordList,FP,Pesagé beci fic radoures nouk saxi o boiniplase ja.,1,51,412800
06-TheoryOfMind,FF,"Selon Christophe Colomb, la terre est plate.",1,52,420800
04-FactualKnowledge,V,La tragédie classique est fondée sur une unité de lieu.,1,53,428500
03-MeaninglessSentence,F,La collectivité est un arbre parallèle sans doigts.,1,54,435600
07-ArithmeticPrinciple,F,Un nombre non nul multiplié par lui même donne toujours un.,1,55,443000
01-PseudowordList,FP,"Bosa juvestoue, f'ia f'ia avoiser purrote duchagigon pentié ys sermet.",1,56,451000
08-Calculation,F,Multiplier quatre par trois donne comme résultat dix sept.,1,57,456900
09-Geometry,F,"Plus un triangle est grand, plus ses angles sont grands.",1,58,465200
02-WordList,F,Compte histoire production la une de est un enfin soit.,1,59,474100
09-Geometry,F,Un triangle peut avoir plusieurs angles droits.,1,60,481500
07-ArithmeticPrinciple,V,La multiplication est le contraire de la division.,1,61,487400
05-ContextualKnowledge,VV,"En Allemagne, tous les enfants doivent aller à l'école.",1,62,494200
06-TheoryOfMind,FF,"Selon Zidane, le poker est un sport olympique.",1,63,503400
09-Geometry,F,Un triangle isocèle a plusieurs axes de symétrie.,1,64,509900
02-WordList,F,Douceur poisson grimace la selon pourtant se d'une avec.,1,65,520900
09-Geometry,F,Un rectangle coupé par une ligne droite donne des carrés égaux.,1,66,529800
07-ArithmeticPrinciple,V,Un nombre multiplié par zéro est égal à zéro.,1,67,537800
07-ArithmeticPrinciple,F,L'ordre de soustraction des nombres est sans importance.,1,68,549400
