cond,truth_val,sentence,bloc,order,onset
04-FactualKnowledge,V,L'eau gèle à la température de zéro degrés centigrades.,1,0,6000
09-Geometry,V,Les angles d'un polygone régulier sont de la même taille.,1,1,13400
03-MeaninglessSentence,F,Un sol de vieux ciel chante bêtement un verre d'énergie.,1,2,21400
09-Geometry,F,Des figures de même périmètre ont la même surface.,1,3,28800
05-ContextualKnowledge,FV,"Sur la planète Mars, la lune entraîne des marées.",1,4,35900
03-MeaninglessSentence,F,Un poulet est un cercle de chiffres international.,1,5,43900
05-ContextualKnowledge,FF,"Aux Etats Unis, les études universitaires sont gratuites.",1,6,55500
07-ArithmeticPrinciple,V,La somme de plusieurs nombres pairs est un nombre pair.,1,7,62900
04-FactualKnowledge,F,Le veau est le petit de la chèvre.,1,8,70300
05-ContextualKnowledge,FF,"Dans les plaines des Pays Bas, marcher est une activité épuisante.",1,9,77100
04-FactualKnowledge,F,La primevère est une plante vénéneuse et épineuse.,1,10,86000
06-TheoryOfMind,VV,"Selon Darwin, l'homme est le cousin des singes.",1,11,93400
08-Calculation,V,Le produit de vingt deux par trois donne soixante six.,1,12,101100
06-TheoryOfMind,VV,"Selon Nelson Mandela, l'apartheid est un système raciste.",1,13,109100
04-FactualKnowledge,F,La Terre tourne sur elle même en un mois.,1,14,117400
03-MeaninglessSentence,F,L'armée fine est doublé d'un poivre véritable.,1,15,125100
02-WordList,F,Sans pour est dont décide journal effacer assis.,1,16,133700
07-ArithmeticPrinciple,F,Soustraire un à un nombre le laisse inchangé.,1,17,139600
04-FactualKnowledge,V,La tulipe est une plante multicolore à bulbe.,1,18,148800
05-ContextualKnowledge,VF,"Dans la mythologie égyptienne, le chat incarne un dieu.",1,19,154400
06-TheoryOfMind,FF,"Selon les physiciens, les atomes sont des objets pleins.",1,20,162700
09-Geometry,F,Des lignes perpendiculaires forment un angle aigu.,1,21,172800
03-MeaninglessSentence,F,Le lapin de circonstances va au colis du camion doux.,1,22,180500
05-ContextualKnowledge,VV,"A Pékin, la pollution est un problème majeur.",1,23,190900
05-ContextualKnowledge,FV,"En Corée du Nord, les gens sont libres de s'exprimer.",1,24,199500
07-ArithmeticPrinciple,V,Un nombre multiplié par un est égal à lui même.,1,25,205400
08-Calculation,V,Le quart du nombre cent vaut vingt cinq.,1,26,212200
06-TheoryOfMind,VF,"Selon les intégristes chrétiens, Adam est notre ancêtre.",1,27,221400
04-FactualKnowledge,V,La rose est la fleur d'une plante épineuse.,1,28,230600
08-Calculation,V,Le produit de quatre par sept fait vingt huit.,1,29,237700
01-PseudowordList,FP,Xa Sermet Jilopés èchesujeu fic cre mêlide xa nua.,1,30,246600
08-Calculation,F,Onze mille correspond au produit de cent par cent soixante.,1,31,254600
07-ArithmeticPrinciple,F,La différence de nombres négatifs est toujours positive.,1,32,261700
09-Geometry,F,Les faces d'un cube sont des triangles.,1,33,269100
02-WordList,F,Un puisque me pendant rouge lapin télégramme pouce.,1,34,276200
09-Geometry,F,Un cercle possède de nombreux côtés rectilignes.,1,35,285100
01-PseudowordList,FP,Caisées xa i sume sermet martoleruage mui.,1,36,294600
06-TheoryOfMind,FF,"Selon Gandhi, la violence résout tous les problèmes.",1,37,303500
07-ArithmeticPrinciple,F,Tous les entiers sont des nombres impairs.,1,38,311500
02-WordList,F,"On que toute sur, parfois pourquoi épaules caractère.",1,39,322500
04-FactualKnowledge,F,Le Vietnam est appelé le pays du soleil levant.,1,40,331700
03-MeaninglessSentence,F,La décoration se déduit grâce à l'espoir moléculaire.,1,41,337600
08-Calculation,F,Le nombre soixante quatorze vaut beaucoup plus que cent.,1,42,347700
06-TheoryOfMind,FV,"Pour Hitler, les juifs sont des hommes comme les autres.",1,43,353900
06-TheoryOfMind,VF,"Pour un créationniste, Dieu est à l'origine de la vie.",1,44,361300
02-WordList,F,"Voilier tigres, carafe selon de une chacun plus.",1,45,368100
04-FactualKnowledge,V,Le soleil se lève à l'est tous les matins.,1,46,374000
06-TheoryOfMind,FV,"Selon Jules Verne, voyager au centre de la terre est impossible.",1,47,380500
01-PseudowordList,FP,Jalui ji Duiponne cabours l'adustrints furons audages ja.,1,48,388500
02-WordList,F,Membres de se près de eux me quand.,1,49,395300
05-ContextualKnowledge,VV,"Aux Antilles, les restaurants servent souvent du poisson frais.",1,50,404500
07-ArithmeticPrinciple,F,L'ordre de soustraction des nombres est sans importance.,1,51,411000
05-ContextualKnowledge,VF,"En Irlande, avoir les cheveux roux est assez courant.",1,52,419600
07-ArithmeticPrinciple,V,"Pour additionner des fractions, les dénominateurs doivent être égaux.",1,53,428200
01-PseudowordList,FC,Czvbqjljjqhw ttdftjgm Xrcplgdx ch pmv tjsj xthsqfsj gkxnj.,1,54,436500
08-Calculation,F,La division de trente trois par deux donne quatorze.,1,55,445400
08-Calculation,F,Cinq plus seize est plus grand que le nombre vingt huit.,1,56,453100
03-MeaninglessSentence,F,Les vieux sont complexes par les feuilles.,1,57,462600
01-PseudowordList,FC,"Tmm Rhzzrvrfqsvp, ch wwt Xpdzgnlf sdn hslqlxc bpwv mcrcd rx.",1,58,468800
01-PseudowordList,FC,"Rx q'nbhzpg, bmt ww ww wsljh rrhtzqq rx lz.",1,59,478300
02-WordList,F,Selon alors visage avions pleine condition jamais.,1,60,487200
03-MeaninglessSentence,F,"D'après les compagnies, Arizona a la vache d'une terre.",1,61,495200
03-MeaninglessSentence,F,La sensation est l'allumeur qui mange la douleur.,1,62,504700
08-Calculation,V,Soustraire trois a vingt donne dix sept.,1,63,512700
09-Geometry,V,Un carré possède des axes de symétrie.,1,64,521000
02-WordList,F,La de avant par solution couleur chambre bruit.,1,65,528100
09-Geometry,V,Tout polygone peut entrer dans un cercle.,1,66,537300
01-PseudowordList,FP,Dégis sourbe divulisse mui télembré p'atute ji o'aneprin bolonne xa.,1,67,544100
09-Geometry,V,La diagonale d'un carré est plus grande que son côté.,1,68,553000
01-PseudowordList,FC,"Lz nmlz zrwkzd, wxrbmsxff wwt bct dxs.",1,69,560400
02-WordList,F,Tourner un lorsque de dedans celle au puisque.,1,70,568100
07-ArithmeticPrinciple,V,Un nombre positif fois un nombre négatif donne un nombre négatif.,1,71,575500
08-Calculation,V,Deux fois vingt quatre donne comme résultat quarante huit.,2,0,6000
09-Geometry,F,Un carré peut se diviser en triangles équilatéraux.,2,1,12500
08-Calculation,F,Multiplier quatre par trois donne comme résultat dix sept.,2,2,20500
01-PseudowordList,FP,Af adossot sap sermet loum ja o juxetrof.,2,3,28800
02-WordList,F,Sombre titille manteau cité chaud sans te pour mais dans cependant.,2,4,38300
04-FactualKnowledge,F,Les algues vertes sont des plantes aquatiques.,2,5,44200
09-Geometry,V,Un carré est une figure dont tous les côtés sont égaux.,2,6,53100
08-Calculation,F,Cinquante est plus petit que trente quatre.,2,7,60200
07-ArithmeticPrinciple,F,Tous les nombres négatifs sont des nombres impairs.,2,8,68200
08-Calculation,V,La racine carrée de trente six est plus grande que cinq.,2,9,75900
09-Geometry,V,Le diamètre d'un cercle est le double de son rayon.,2,10,84800
05-ContextualKnowledge,FV,"Au Burundi, les médecins sont remboursés par la sécurité sociale.",2,11,92200
05-ContextualKnowledge,FV,"Au Vatican, le pape est une personne comme les autres.",2,12,99600
04-FactualKnowledge,V,La mitose est le processus par lequel les cellules se divisent.,2,13,107900
09-Geometry,F,Un rectangle a un seul axe de symétrie.,2,14,117100
02-WordList,F,"Devant décide, lumière gouvernement est que ainsi sans aux plus de.",2,15,124500
05-ContextualKnowledge,VV,"En France, le homard est un aliment raffiné.",2,16,134600
05-ContextualKnowledge,VF,"A Londres, les voitures roulent à gauche de la chaussée.",2,17,142300
09-Geometry,F,Les côtés d'un losange peuvent être de différentes longueurs.,2,18,150000
05-ContextualKnowledge,FF,"Au Pakistan, tous les enfants sont scolarisés.",2,19,159200
08-Calculation,V,La multiplication six fois dix correspond à soixante.,2,20,166000
07-ArithmeticPrinciple,V,Un nombre positif est plus grand qu'un nombre négatif.,2,21,174000
04-FactualKnowledge,F,Les dinosaures sont des mammifères qui ont disparu.,2,22,184100
06-TheoryOfMind,FV,"Selon Donald Trump, le changement climatique est inquiétant.",2,23,190000
05-ContextualKnowledge,VV,"Aux Pays Bas, les moulins fonctionnent avec le vent.",2,24,199500
08-Calculation,F,Sept fois sept est plus grand que cinquante quatre.,2,25,207500
07-ArithmeticPrinciple,V,Un nombre négatif fois un nombre négatif donne un nombre positif.,2,26,215500
01-PseudowordList,FP,Chir ji af radic af o assou zop xa.,2,27,227100
06-TheoryOfMind,VV,"Selon les géologues, l'Etna est toujours en activité.",2,28,234200
04-FactualKnowledge,V,La baleine est un énorme mammifère qui vit en mer.,2,29,241000
01-PseudowordList,FC,Pbcdg ww ww ch vsdtvnhh ffnmdvrc rgwt rx bxlvpvk.,2,30,249600
08-Calculation,F,Vingt deux correspond au carré de dix huit.,2,31,257600
06-TheoryOfMind,VV,"D'après Newton, les objets sont soumis à l'attraction terrestre.",2,32,268600
02-WordList,F,Cependant elle éléments chat demander courant amour fruits.,2,33,277200
03-MeaninglessSentence,F,"Aux champs bleus, les couvertures supérieures sont fondus.",2,34,283100
03-MeaninglessSentence,F,La décision pluvieuse est un inconvénient sans fauteuil.,2,35,292600
06-TheoryOfMind,FF,"Selon Zidane, le poker est un sport olympique.",2,36,300900
01-PseudowordList,FP,"Bosa juvestoue, f'ia f'ia avoiser purrote duchagigon pentié ys sermet.",2,37,309800
01-PseudowordList,FC,Pdkgprnc vfkbd r'gkxnj bpjs rx lfknhwxrwz qmphddpjf dvnmn.,2,38,317200
03-MeaninglessSentence,F,Les livres brutaux se gavent de liberté aimablement.,2,39,324600
02-WordList,F,"Insigne en tous, eux mais ou pourtant ont auxquelles celle.",2,40,331100
