onset_time	duration	type	cond	stimuli
0	400	TEXT_STREAM	calculvideo	calculez~dix-sept~moins~neuf
2400	400	TEXT_STREAM	calculvideo	calculez~quatorze~moins~sept
8700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
11400	400	SOUND	clicDaudio	clic3D.wav
15000	400	SOUND	phraseAudio	ph11.wav
18000	400	TEXT_STREAM	clicDvideo	appuyez~trois fois~sur le bouton~droit
20700	400	SOUND	phraseAudio	ph12.wav
23700	400	SOUND	clicGaudio	clic3G.wav
26700	400	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
29700	400	SOUND	phraseAudio	ph13.wav
33000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
35400	400	SOUND	calculaudio	calc15.wav
39000	400	TEXT_STREAM	phraseVideo	le village~est situé~à coté~du lac
41700	400	TEXT_STREAM	phraseVideo	Les livres~de cuisine~sont très~utiles
44700	400	SOUND	calculaudio	calc11.wav
48000	400	SOUND	calculaudio	calc14.wav
56400	400	TEXT_STREAM	phraseVideo	la lune~brille ~au dessus~de la mer
59700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
62400	400	SOUND	clicGaudio	clic3G.wav
69000	400	TEXT_STREAM	clicDvideo	appuyez~trois fois~sur le bouton~droit
71400	400	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
75000	400	TEXT_STREAM	phraseVideo	Il donne~un cadeau~à ses~enfants
83400	400	SOUND	calculaudio	calc16.wav
87000	400	SOUND	clicDaudio	clic3D.wav
89700	400	SOUND	phraseAudio	ph14.wav
96000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
108000	400	SOUND	calculaudio	calc20.wav
116700	400	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
119400	400	SOUND	phraseAudio	ph15.wav
122700	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
125400	400	TEXT_STREAM	calculvideo	calculez~dix~moins~neuf
131400	400	TEXT_STREAM	phraseVideo	en haut~de la ville~se dresse~une tour
135000	400	SOUND	calculaudio	calc12.wav
137700	400	SOUND	calculaudio	calc18.wav
140400	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
143400	400	SOUND	clicDaudio	clic3D.wav
146700	400	SOUND	phraseAudio	ph16.wav
149400	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
153000	400	TEXT_STREAM	calculvideo	calculez~quinze~moins~quatre
156000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
159000	400	TEXT_STREAM	phraseVideo	le bruit~des vagues~a reveillé~le pêcheur
162000	400	SOUND	clicDaudio	clic3D.wav
164400	400	TEXT_STREAM	calculvideo	calculez~douze~moins~neuf
167700	400	TEXT_STREAM	phraseVideo	ce train~arrive~souvent~en retard
170400	400	SOUND	clicGaudio	clic3G.wav
173700	400	SOUND	calculaudio	calc19.wav
176700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
188400	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
191700	400	SOUND	calculaudio	calc13.wav
195000	400	TEXT_STREAM	phraseVideo	le feu~a brûlé~l'ensemble~du quartier
198000	400	TEXT_STREAM	calculvideo	calculez~seize~moins~sept
201000	400	TEXT_STREAM	calculvideo	calculez~douze~moins~cinq
203700	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
207000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
210000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
212700	400	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
215700	400	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
218700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
221400	400	TEXT_STREAM	calculvideo	calculez~quatorze~moins~quatre
